Label,ID,Count of Links,Entity Short Form,Tags,Type,SubType,OrgClass,OrgSubType,Portfolio,EntityToType (from Connections - Entity To),EntityFromType (from Connections - Entity From),URL,Source of Entry,Contributor - Private,Connection Notes,Admin Flag,Admin Notes,Data Provider,Possible Duplicate,Record Status,Attachments,DataSize,Climate Size,Not4DERD,Has Data Strategy?,Count (Tags),Last Modified By,Last Modified,Created,Connections - Entity From,Connections - Entity To,To ID,From ID,Count (Connections - Entity From),Count (Connections - Entity To),Entity To Tags (from Connections - Entity To),Entity From Tags (from Connections - Entity From),URL 2,Image,French Entity Full Name,Entity Type FR (from Type),Entity sub-type FR (from SubType),French Short Form,FrenchOrgClassName (from OrgClass 2),French URL,FrenchAvail?,Add new entity form text,Entity Lookup,Form Section - finished required,Comments Test,Suggested Tags,Contacts,DigitalTalentSize,Entity To (from Connections - Entity From),Entity From (from Connections - Entity To),ID Text,Entity Type Eng (from Type),Entity sub-type (from SubType),Name (from OrgClass),Name (from Portfolio),Name (from Tags)
Concordia University,4926,2,,,Organizations,Learning provider,Learning Provider,,,,"Organizations, Organizations",https://www.concordia.ca/,,,,,,,,Legacy,,,,,,0,Thom Kearney,3/20/2023 7:32am,5/4/2022,"5416, 6058",,,"5416, 6058",0,2,,,,,Concordia University,Organisations ,Fournisseur de formation,,,,,,,,,,,,"Concordia University: Data Science Diploma, Concordia University: Data Science Diploma",,4926,Organizations,Learning provider,Learning Provider,,
Ontario Tech University,4927,1,,DigitalTalent,Organizations,Learning provider,Learning Provider,,,,Organizations,https://ontariotechu.ca/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,5/4/2022,5424,,,5424,0,1,,DigitalTalent,,,Ontario Tech University,Organisations ,Fournisseur de formation,,,,,,,,,,,2,Ontario Tech Talent ,,4927,Organizations,Learning provider,Learning Provider,,DigitalTalent
Information and Communications Technology Council (ICTC),4928,1,,DigitalTalent,Organizations,Non-profit organization,NGO,,,,Organizations,https://www.ictc-ctic.ca/about-us-2/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,5/4/2022,5432,,,5432,0,1,,DigitalTalent,,,"A not-for-profit national centre of expertise for the digital economy, we are the trusted source for evidence-based policy advice, forward looking research, and creative capacity building programs, with a team of over 90 qualified professionals across Canada.",Organisations ,Organisation à but non lucratif,,,,,,,,,,,2,ETalent Canada by ICTC,,4928,Organizations,Non-profit organization,NGO,,DigitalTalent
OCIO - GC Chief Data Office,4931,4,,"Governance, DataCentric ",Teams,Sector,Government of Canada,,,Teams,"Teams, Teams, Teams",,,,,,,,,Legacy,,2,,,,2,Thom Kearney,3/20/2023 7:32am,5/16/2022,"5777, 5892, 6015",5888,5888,"5777, 5892, 6015",1,3,"Governance, DataCentric ","Governance, DataCentric , Governance, DataCentric , Governance, DataCentric ",,,,Équipes,,,Gouvernement du Canada,,,,,,,,,,"Priorities for Advancing the Government of Canada Data Agenda, 2022 Update to the GC Data Strategy Roadmap, ADM Committee on Data & Information (ADM CDI)",TBS - Office of the Chief Information Officer (OCIO),4931,Teams,Sector,Government of Canada,,"Governance, DataCentric "
Job descriptions for data practitioners (EC-02-07),4932,2,,"DataTalent, HR",Policy Instruments,Guidelines,Government of Canada,,,"Policy Instruments, Policy Instruments",,https://gccollab.ca/file/group/6144942/all#13026100,Christine Minas (HC),,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,5/20/2022,,"5522, 6052","5522, 6052",,2,0,"DataTalent, HR, DataTalent, HR",,,,,Instruments de politique,Lignes directrices,,Gouvernement du Canada,https://gccollab.ca/file/group/6144942/all#13026100,,,,,,,,1,,"Health Canada (HC), Health Canada (HC)",4932,Policy Instruments,Guidelines,Government of Canada,,"DataTalent, HR"
Standard on Systems that Manage Information and Data (Appendix J),4933,3,,Governance,Policy Instruments,Guidelines,Government of Canada,,,"Policy Instruments, Policy Instruments",Policy Instruments,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32716,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,5/26/2022,5869,"5786, 5997","5786, 5997",5869,2,1,"Governance, Governance",Governance,,,Norme sur les systèmes qui gèrent l’information et les données (Annexe J),Instruments de politique,Lignes directrices,,Gouvernement du Canada,https://www.tbs-sct.canada.ca/pol/doc-fra.aspx?id=32716,,,,,,,,,ISO 16175-1:2020,"Directive on Service and Digital, Standard on Systems that Manage Information and Data",4933,Policy Instruments,Guidelines,Government of Canada,,Governance
Classification Renewal,4934,0,,DataTalent,Projects and Initiatives,,Government of Canada,,,,,https://intranet.canada.ca/hr-rh/pss-dfp/oew-oet/cr-rc-eng.asp,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,5/26/2022,,,,,0,0,,,,,Renouvellement de la classification,Projets / initiatives  ,,,Gouvernement du Canada,https://intranet.canada.ca/hr-rh/pss-dfp/oew-oet/cr-rc-fra.asp,,,,,,,,3,,,4934,Projects and Initiatives,,Government of Canada,,DataTalent
Consolidated Report on the Evolving Role of the Chief Data Officer in the Government of Canada,4935,1,,"DataTalent, DataPractitioner",Knowledge Sharing Product,,Government of Canada,,,Knowledge Sharing Product,,https://iog.ca/projects-initiatives/the-evolving-role-of-the-chief-data-officer/,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,5/27/2022,,5782,5782,,1,0,"DataTalent, DataPractitioner",,,,,Produit de partage des connaissances,,,Gouvernement du Canada,https://iog.ca/projects-initiatives/the-evolving-role-of-the-chief-data-officer/,,,,,,,,1,,Institute on Governance,4935,Knowledge Sharing Product,,Government of Canada,,"DataTalent, DataPractitioner"
Priorities for Advancing the Government of Canada Data Agenda,4936,1,,Governance,Knowledge Sharing Product,,Government of Canada,,,Knowledge Sharing Product,,https://gccollab.ca/blog/view/13043649/priorities-for-advancing-the-government-of-canada-data-agenda-priorit-s-pour-faire-progresser-le-programme-de-donn-es-du-gouvernement-du-canada,,,,,,,,Legacy,,2,,,,1,Thom Kearney,3/20/2023 7:32am,5/27/2022,,5777,5777,,1,0,Governance,,,,,Produit de partage des connaissances,,,Gouvernement du Canada,,,,,,,,,,,OCIO - GC Chief Data Office,4936,Knowledge Sharing Product,,Government of Canada,,Governance
It's Elementary: Digital Twins a presentation by Bruce Watson,4937,0,,"DataCentric , DigitalTalent",Knowledge Sharing Product,,Government of Canada,,,,,https://gccollab.ca/file/view/13009512/its-elementary-digital-twins-a-presentation-by-bruce-watson?utm_source=notification&utm_medium=email,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,5/27/2022,,,,,0,0,,,,,,Produit de partage des connaissances,,,Gouvernement du Canada,,,,,,,,,1,,,4937,Knowledge Sharing Product,,Government of Canada,,"DataCentric , DigitalTalent"
GAC - Data Co-op Student Project,4938,3,,DataTalent,Projects and Initiatives,,Government of Canada,,,"Projects and Initiatives, Projects and Initiatives",Projects and Initiatives,https://gccollab.ca/blog/view/8676252/coop-students-bring-data-skills-to-global-affairs-canada-this-summer-des-tudiants-stagiaires-apportent-des-comp-tences-en-donn-es-affaires-mondiales-canada-cet-t,,,,,as part of it created a dashboard to help manager's screen by criteria. can we get a screen shot? ,,,Legacy,Data_Coop_Students_Pilot_Report_BIL.pdf (https://v5.airtableusercontent.com/v1/18/18/1689364800000/G5fcMyqSJ6tDrXwWcZO6qQ/koposjuC6HcgE3uM1hp8_PWKnaxT2LPBKULjIFkYK7nnHfUJ7KDDhwDq2_H4TMsWvI1qMUrzNF-IcFec28Fw1VzXdNc5kcc-loi4CzbSwHrtzADhgvkH6fovMhCYZo2P/jGrL_tQyqZzq1vSOd0fAjMTWy1VE-9_Wi8mZ_EgFoNI),,,,,1,Thom Kearney,3/20/2023 7:32am,5/27/2022,6044,"5523, 6039","5523, 6039",6044,2,1,"DataTalent, DataTalent",DataTalent,,,,Projets / initiatives  ,,,Gouvernement du Canada,,,,,,,,,1,GAC - Data Co-op Student Project: Report on the 2021 Pilot Project (Infographic),"Global Affairs Canada (GAC), Global Affairs Canada (GAC)",4938,Projects and Initiatives,,Government of Canada,,DataTalent
Government of Ontario Open Data Dictionary,4939,1,,OpenGov,Knowledge Sharing Product,Data Glossaries,Other Government,,,Knowledge Sharing Product,,,,,,,,,,Legacy,GO_DDS 3 Open Data Dictionary Final.pdf (https://v5.airtableusercontent.com/v1/18/18/1689364800000/mVIhEdCUfGkxxwj5kGyJrg/asspgW-WJkj4L5NuY22Z7CdLyx1QC4ToUKtuLzz6RqWbyrBsHXV6v-yTJxQ0i6sgga22Xi5MkLFJ7MSJaAXnnPne9x2e77IjoqpCMr16FU1YSQ0c9GRdLKVw165viWDV/OF3Fn9l0QsmpQSN6gYEoOTVO9q2HQzDiB3FFsxYQ03k),,,,,1,Thom Kearney,3/20/2023 7:32am,5/27/2022,,5768,5768,,1,0,OpenGov,,,,,Produit de partage des connaissances,Glossaires de données,,,,,,,,,,,,,Ontario Government,4939,Knowledge Sharing Product,Data Glossaries,Other Government,,OpenGov
PCO - Data Hub,4940,3,,DataCentric ,Projects and Initiatives,,Government of Canada,,,Projects and Initiatives,"Projects and Initiatives, Projects and Initiatives",,,,,,,,,Legacy,,,,checked,,1,Thom Kearney,3/20/2023 7:32am,6/1/2022,"5525, 5531",5526,5526,"5525, 5531",1,2,DataCentric ,"DataCentric , DataCentric ",,,,Projets / initiatives  ,,,Gouvernement du Canada,,,,,,,,,,"DFO - Data & Application Platform, Statistics Canada (StatCan)",PCO - Results and Delivery Unit,4940,Projects and Initiatives,,Government of Canada,,DataCentric 
Data Lifecycle competency mapping ,4941,1,,DataTalent,Working Groups,,Government of Canada,,,Working Groups,,Ask Julian,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/1/2022,,6030,6030,,1,0,DataTalent,,,,,Groupes de travail,,,Gouvernement du Canada,,,,,,,,,1,,GC EDCoP People & Culture Working Group,4941,Working Groups,,Government of Canada,,DataTalent
Learning path Data For Leaders (collection of learning materials),4942,0,,"DataTalent, DataLiteracy ",Knowledge Sharing Product,Resources,Government of Canada,,,,,,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/1/2022,,,,,0,0,,,,,,Produit de partage des connaissances,Ressources,,Gouvernement du Canada,,,,,,,,,1,,,4942,Knowledge Sharing Product,Resources,Government of Canada,,"DataTalent, DataLiteracy "
Teaching Public Service in the Digital Age,4943,0,,"DataTalent, DataLiteracy , DigitalTalent",Learning Resources,Resources,NGO,,,,,https://www.teachingpublicservice.digital/en/home,,,,,,,,Essential data complete,,,,,,3,Thom Kearney,3/20/2023 7:32am,6/2/2022,,,,,0,0,,,,,,Ressources d'apprentissage  ,Ressources,,,,,,,,,,,1,,,4943,Learning Resources,Resources,NGO,,"DataTalent, DataLiteracy , DigitalTalent"
Data for Development Network,4944,0,,Research,Communities,Communities,Other,,,,,https://www.d4d.net/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/2/2022,,,,,0,0,,,,,,Communautés ,Communautés,,,,,,,,,,,,,,4944,Communities,Communities,Other,,Research
Directive on Student Employment,4946,0,,DataTalent,Policy Instruments,Directives,Government of Canada,,,,,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32638,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,,,,,0,0,,,,,Directive sur l’embauche des étudiants,Instruments de politique,Directives,,Gouvernement du Canada,https://www.tbs-sct.canada.ca/pol/doc-fra.aspx?id=32638,,,,,,,,1,,,4946,Policy Instruments,Directives,Government of Canada,,DataTalent
GAC - Data Literacy Survey (Databilities),4947,2,,"DataTalent, DataLiteracy ",Projects and Initiatives,Projects/initiatives,Government of Canada,,,"Projects and Initiatives, Projects and Initiatives",,https://wiki/images/1/19/Databilities_Surevy_Report_ENG_2022.pdf,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,"5533, 6040","5533, 6040",,2,0,"DataTalent, DataLiteracy , DataTalent, DataLiteracy ",,,,,Projets / initiatives  ,Projets et initiatives,,Gouvernement du Canada,,,,,,,,,1,,"Global Affairs Canada (GAC), Global Affairs Canada (GAC)",4947,Projects and Initiatives,Projects/initiatives,Government of Canada,,"DataTalent, DataLiteracy "
GAC - Data Strategy Team ,4949,4,,DataPractitioner,Teams,,Government of Canada,,,Teams,"Teams, Teams, Teams",,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,"5536, 5537, 5539",5911,5911,"5536, 5537, 5539",1,3,DataPractitioner,"DataPractitioner, DataPractitioner, DataPractitioner",,,,Équipes,,,Gouvernement du Canada,,,,,,,,,,"GAC - Dataviz Watch Parties, GAC - Data Support Service, Coop students bring data skills to Global Affairs Canada this summer",Global Affairs Canada (GAC),4949,Teams,,Government of Canada,,DataPractitioner
GAC - Dataviz Watch Parties,4950,4,,"DataLiteracy , DataTalent",Knowledge Sharing Product,Videos,Government of Canada,,,"Knowledge Sharing Product, Knowledge Sharing Product, Knowledge Sharing Product",Knowledge Sharing Product,mailto:data-donnees-PRR@international.gc.ca,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,5535,"5534, 5536, 6042","5534, 5536, 6042",5535,3,1,"DataLiteracy , DataTalent, DataLiteracy , DataTalent, DataLiteracy , DataTalent","DataLiteracy , DataTalent",,,,Produit de partage des connaissances,Vidéos,,Gouvernement du Canada,,,,,,,,,1,GAC - Branch Data Community of Practice,"Global Affairs Canada (GAC), GAC - Data Strategy Team , Global Affairs Canada (GAC)",4950,Knowledge Sharing Product,Videos,Government of Canada,,"DataLiteracy , DataTalent"
GAC - Data Support Service,4951,2,,"DataLiteracy , DataTalent",Teams,Teams ,Government of Canada,,,"Teams, Teams",,,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,"5537, 6041","5537, 6041",,2,0,"DataLiteracy , DataTalent, DataLiteracy , DataTalent",,,,,Équipes,Équipes,,Gouvernement du Canada,,,,,,,,,1,,"GAC - Data Strategy Team , Global Affairs Canada (GAC)",4951,Teams,Teams ,Government of Canada,,"DataLiteracy , DataTalent"
GAC - Data Co-op Student Project: Report on the 2021 Pilot Project (Infographic),4957,2,,DataTalent,Knowledge Sharing Product,,Government of Canada,,,"Knowledge Sharing Product, Knowledge Sharing Product",,mailto: data-donnees-PRR@international.gc.ca,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,,"5781, 6044","5781, 6044",,2,0,"DataTalent, DataTalent",,,,,Produit de partage des connaissances,,,Gouvernement du Canada,,,,,,,,,1,,"Global Affairs Canada (GAC), GAC - Data Co-op Student Project",4957,Knowledge Sharing Product,,Government of Canada,,DataTalent
Coop students bring data skills to Global Affairs Canada this summer,4958,2,,DataTalent,Knowledge Sharing Product,,Government of Canada,,,"Knowledge Sharing Product, Knowledge Sharing Product",,https://gccollab.ca/blog/view/8676252/coop-students-bring-data-skills-to-global-affairs-canada-this-summer-des-tudiants-stagiaires-apportent-des-comp-tences-en-donn-es-affaires-mondiales-canada-cet-t,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,,"5539, 6037","5539, 6037",,2,0,"DataTalent, DataTalent",,,,"Des étudiants stagiaires apportent des compétences en données à Affaires mondiales Canada, cet été",Produit de partage des connaissances,,,Gouvernement du Canada,https://gccollab.ca/blog/view/8676252/coop-students-bring-data-skills-to-global-affairs-canada-this-summer-des-tudiants-stagiaires-apportent-des-comp-tences-en-donn-es-affaires-mondiales-canada-cet-t,,,,,,,,1,,"GAC - Data Strategy Team , Global Affairs Canada (GAC)",4958,Knowledge Sharing Product,,Government of Canada,,DataTalent
Roles and responsibilities with respect to data at the public service commission,4960,1,,"DataTalent, DataPractitioner",Policy Instruments,Guidelines,Government of Canada,,,Policy Instruments,,https://www.canada.ca/en/public-service-commission/services/publications/roles-responsibilities-with-respect-data-at-the-psc.html,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5783,5783,,1,0,"DataTalent, DataPractitioner",,,,Rôles et responsabilités à l’égard des données à la commission de la fonction publique,Instruments de politique,Lignes directrices,,Gouvernement du Canada,https://www.canada.ca/fr/commission-fonction-publique/services/publications/roles-responsabilite-a-legard-donnees-a-la-cfp.html,,,,,,,,1,,Public Service Commission (PSC),4960,Policy Instruments,Guidelines,Government of Canada,,"DataTalent, DataPractitioner"
Canadian Open Government Working Group,4961,15,,"OpenGov, DataCentric ",Working Groups,Working Groups,Multi-Jurisdictional,,,,"Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups, Working Groups",https://gccollab.ca/file/group/18873/all,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,"5551, 5552, 5553, 5554, 5555, 5557, 5558, 5559, 5560, 5662, 5663, 5666, 5667, 5668, 5669",,,"5551, 5552, 5553, 5554, 5555, 5557, 5558, 5559, 5560, 5662, 5663, 5666, 5667, 5668, 5669",0,15,,"OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric , OpenGov, DataCentric ",,,,Groupes de travail,Groupes de travail,,,,,,,,,,,,"OCIO - Open Government, Ontario Government, British Columbia Government, Prince Edward Island Government , Yukon Government, Newfoundland and Labrador Government , Open Government frequently asked Questions, Nova Scotia Government , Quebec Government, New Brunswick Government , Manitoba Government , Northwest Territories Government , Alberta Government , Saskatchewan Government , Nunavut Government ",,4961,Working Groups,Working Groups,Multi-Jurisdictional,,"OpenGov, DataCentric "
Open Government Director Generals Committee (OGDG),4962,2,,"OpenGov, DataCentric , DigitalAmbition",Committees,Committees,GC Interdepartmental,,,Committees,Committees,https://gccollab.ca/file/group/18873/all,,,,,,,,Legacy,,2,,,,3,Thom Kearney,3/20/2023 7:32am,6/6/2022,5563,55,55,5563,1,1,"OpenGov, DataCentric , DigitalAmbition","OpenGov, DataCentric , DigitalAmbition",,,,Comités,Comités,,,,,,,,,,,1,OCIO - Open Government,Treasury Board of Canada Secretariat (TBS),4962,Committees,Committees,GC Interdepartmental,,"OpenGov, DataCentric , DigitalAmbition"
Open PSC (Public Service Commission),4963,1,,"OpenGov, DataTalent",Communities,Communities,Government of Canada,,,Communities,,https://gccollab.ca/groups/profile/371207/open-psc-cfp-ouverte,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5763,5763,,1,0,"OpenGov, DataTalent",,,,,Communautés ,Communautés,,Gouvernement du Canada,,,,,,,,,2,,Public Service Commission (PSC),4963,Communities,Communities,Government of Canada,,"OpenGov, DataTalent"
Open Gov Partnership Local Program,4964,1,,OpenGov,Communities,Communities,NGO,,,Communities,,"https://www.opengovpartnership.org/ogp-local/about-ogp-local-program/#:~:text=About%20OGP%20Local%20Supporting%20strategic%20national-local%20integration%20to,initiatives%2C%20including%20the%20OGP%20national%20action%20plan%20processes.",,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5762,5762,,1,0,OpenGov,,,,,Communautés ,Communautés,,,,,,,,,,,,,Open Government Partnership ,4964,Communities,Communities,NGO,,OpenGov
Open Science (GC Collab),4965,1,,"OpenGov, Science",Communities,Communities,Government of Canada,,,Communities,,https://gccollab.ca/groups/profile/18923/open-science-science-ouverte,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5765,5765,,1,0,"OpenGov, Science",,,,,Communautés ,Communautés,,Gouvernement du Canada,,,,,,,,,,,GC Grass Roots,4965,Communities,Communities,Government of Canada,,"OpenGov, Science"
Artificial Intelligence Practitioners and Users Network,4966,1,,"OpenGov, AI",Communities,Communities,Government of Canada,,,Communities,,https://gccollab.ca/groups/about/449284,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5767,5767,,1,0,"OpenGov, AI",,,,,Communautés ,Communautés,,Gouvernement du Canada,,,,,,,,,,,GC Grass Roots,4966,Communities,Communities,Government of Canada,,"OpenGov, AI"
StatCan - Data Science Communities of Practice Hub,4967,1,,"OpenGov, DataTalent",Communities,Communities,Government of Canada,,,Communities,,https://gcconnex.gc.ca/groups/profile/56632124?language=en,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5766,5766,,1,0,"OpenGov, DataTalent",,,,,Communautés ,Communautés,,Gouvernement du Canada,,,,,,,,,1,,Statistics Canada (StatCan),4967,Communities,Communities,Government of Canada,,"OpenGov, DataTalent"
ECCC Network of Experts and Researchers in Data Science (N.E.R.D.S),4968,1,,"OpenGov, DataTalent",Communities,Communities,Government of Canada,,,Communities,,https://gccollab.ca/groups/profile/778815/eccc-network-of-experts-and-researchers-in-data-science-n-e-r-d-s-labo-de-donn-es,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,,5761,5761,,1,0,"OpenGov, DataTalent",,,,,Communautés ,Communautés,,Gouvernement du Canada,,,,,,,,,1,,Environment and Climate Change Canada (ECCC),4968,Communities,Communities,Government of Canada,,"OpenGov, DataTalent"
Housing Market Information Portal,4969,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,cmhc.ca/hmiportal,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5566,,,5566,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,schl.ca/portailimh,,,,,,,,,Canada Mortgage and Housing Corporation (CMHC),,4969,Data Sources,Data Sources,Government of Canada,,OpenGov
Canadian Hydrographic Service Nautical Publications,4970,2,,OpenGov,Knowledge Sharing Product,Documents,Government of Canada,,,,"Knowledge Sharing Product, Knowledge Sharing Product",https://www.charts.gc.ca/publications/index-eng.html,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,"5574, 5575",,,"5574, 5575",0,2,,"OpenGov, OpenGov",,,,Produit de partage des connaissances,Documents,,Gouvernement du Canada,,,,,,,,,,"Canadian Hydrographic Service, Fisheries and Oceans Canada (DFO)",,4970,Knowledge Sharing Product,Documents,Government of Canada,,OpenGov
"Tides, currents and water levels portal",4971,0,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,,https://tides.gc.ca/en,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,,,,,0,0,,,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,,,4971,Data Sources,Data Sources,Government of Canada,,OpenGov
COVID-19 wastewater surveillance dashboard,4972,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://health-infobase.canada.ca/covid-19/wastewater/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5578,,,5578,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Public Health Agency of Canada (PHAC),,4972,Data Sources,Data Sources,Government of Canada,,OpenGov
Meteorological Data Mart (archived),4973,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://dd.weather.gc.ca/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5567,,,5567,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Meteorological Service of Canada,,4973,Data Sources,Data Sources,Government of Canada,,OpenGov
Meteorological Service of Canada Data Mart,4974,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://eccc-msc.github.io/open-data/msc-datamart/readme_en/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5568,,,5568,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Meteorological Service of Canada,,4974,Data Sources,Data Sources,Government of Canada,,OpenGov
Meteorological Service of Canada Climate Data,4975,1,,"OpenGov, Climate",Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://eccc-msc.github.io/open-data/msc-data/climate_obs/readme_climateobs-datamart_en/,,,,,,,,Legacy,,,,,,2,Thom Kearney,3/20/2023 7:32am,6/6/2022,5569,,,5569,0,1,,"OpenGov, Climate",,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Meteorological Service of Canada,,4975,Data Sources,Data Sources,Government of Canada,,"OpenGov, Climate"
Water Portal for the GoC,4976,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://wateroffice.ec.gc.ca/,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5571,,,5571,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Hydrometric program: a national partnership,,4976,Data Sources,Data Sources,Government of Canada,,OpenGov
TO2015 Pan Am Games Atmospheric Monitoring Observations,4977,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://open.canada.ca/data/en/dataset/f7ff59c9-80d2-4e63-932d-fa75793ed192,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5572,,,5572,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Environment and Climate Change Canada (ECCC),,4977,Data Sources,Data Sources,Government of Canada,,OpenGov
ECCC TO2015 Pan American Games Science Showcase,4978,1,,OpenGov,Data Sources,Data Sources,Government of Canada,,,,Data Sources,https://open.canada.ca/data/en/dataset/55c920ff-bc8d-4fd2-ad40-722d03ec97b5,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5573,,,5573,0,1,,OpenGov,,,,Sources de données,Sources des données,,Gouvernement du Canada,,,,,,,,,,Environment and Climate Change Canada (ECCC),,4978,Data Sources,Data Sources,Government of Canada,,OpenGov
DFO Canadian Science Advisory Secretariat Publications,4979,1,,OpenGov,Knowledge Sharing Product,Documents,Government of Canada,,,,Knowledge Sharing Product,https://www.isdm-gdsi.gc.ca/csas-sccs/applications/Publications/index-eng.asp,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5561,,,5561,0,1,,OpenGov,,,,Produit de partage des connaissances,Documents,,Gouvernement du Canada,,,,,,,,,,Canadian Science Advisory Secretariat (CSAS),,4979,Knowledge Sharing Product,Documents,Government of Canada,,OpenGov
Open Government Resource Development Working Group,4980,1,,OpenGov,Working Groups,Working Groups,Government of Canada,,,,Working Groups,https://gcconnex.gc.ca/discussion/owner/24670219,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5577,,,5577,0,1,,OpenGov,,,,Groupes de travail,Groupes de travail,,Gouvernement du Canada,,,,,,,,,,OCIO - Open Government,,4980,Working Groups,Working Groups,Government of Canada,,OpenGov
Data courses and learning streams list,4981,1,,DataLiteracy ,Learning Resources,Courses,Government of Canada,,,,Learning Resources,https://gccollab.ca/file/download/2686149,,,,,,,,Legacy,,,,,,1,Thom Kearney,3/20/2023 7:32am,6/6/2022,5543,,,5543,0,1,,DataLiteracy ,,,,Ressources d'apprentissage  ,Cours,,Gouvernement du Canada,,,,,,,,,,Canada Open Government Working Group,,4981,Learning Resources,Courses,Government of Canada,,DataLiteracy 
